"host time (us)","GPU PowerVR Series8XEP, GE8320, Device 0/Frame time","GPU PowerVR Series8XEP, GE8320, Device 0/Frames per second (FPS)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU clock speed","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory interface load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory read bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory total bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory write bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiler triangle load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiles per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangle ratio (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per draw","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Vertices per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/HSR efficiency (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP pixel load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP tiles in flight (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Overdraw","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Z load/store (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per pixel","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per vertex","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: compute (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: pixel (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: vertex (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Register overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shader processing load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texture overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texturing active (%)","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time"
820509800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820509850000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820509900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820509950000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820510000000,5.56E-01,1.80E+00,4.00E+08,4.86E+00,1.34E+08,3.24E+08,1.89E+08,0.00E+00,0.00E+00,0.00E+00,4.06E+00,2.26E-02,2.03E-03,8.70E-03,3.63E+02,1.00E+02,1.50E+00,4.90E+02,9.04E+03,4.90E+02,9.04E+03,2.00E+00,,0.00E+00,,0.00E+00,0.00E+00,,0.00E+00,0.00E+00,0.00E+00,,6.13E+01,0.00E+00,0.00E+00,1.67E-02,0.00E+00,0.00E+00,0.00E+00,9.81E+02,1.81E+04,1.67E-02,0.00E+00,3.80E+00,,0.00E+00,,0.00E+00,,2.26E-02,,2.03E-03
820510050000,5.47E-02,1.83E+01,4.00E+08,2.23E+01,9.67E+08,1.54E+09,5.70E+08,2.07E+01,1.13E-02,1.04E-02,5.91E+01,3.23E-02,2.96E-02,1.75E+01,2.05E+00,4.07E+01,4.56E+03,8.55E+05,1.88E+07,3.48E+05,7.66E+06,1.01E+00,0.00E+00,7.19E-02,1.00E+02,8.94E+05,1.97E+07,1.01E+00,1.51E+00,0.00E+00,0.00E+00,6.03E+01,4.61E+01,0.00E+00,1.73E+01,1.28E+01,0.00E+00,8.99E+05,1.98E+07,8.67E+05,1.91E+07,3.01E+01,1.00E-01,7.60E+01,,1.13E-02,,1.04E-02,,3.23E-02,,2.96E-02
820510100000,1.37E-01,7.32E+00,4.00E+08,2.38E+01,7.67E+08,1.52E+09,7.56E+08,9.58E+01,1.31E-01,4.79E-02,6.62E+01,9.05E-02,3.31E-02,6.76E+00,2.32E+00,4.62E+01,6.14E+03,9.23E+05,6.76E+06,4.27E+05,3.12E+06,1.01E+00,0.00E+00,2.74E-01,1.00E+02,9.57E+06,7.01E+07,1.00E+00,5.75E+00,0.00E+00,0.00E+00,6.06E+01,4.50E+01,0.00E+00,6.63E+01,4.79E+00,0.00E+00,9.57E+06,7.01E+07,9.31E+05,6.82E+06,7.11E+01,1.61E+00,5.92E+01,,1.31E-01,,4.79E-02,,9.05E-02,,3.31E-02
820510150000,1.37E-01,7.32E+00,6.03E+08,2.69E+01,1.48E+09,2.60E+09,1.12E+09,9.62E+01,1.31E-01,4.81E-02,5.43E+01,7.41E-02,2.71E-02,5.89E+00,1.87E+00,3.65E+01,3.15E+03,1.21E+06,8.88E+06,4.42E+05,3.24E+06,1.02E+00,0.00E+00,4.96E-01,1.00E+02,1.48E+07,1.08E+08,1.08E+00,8.56E+00,0.00E+00,0.00E+00,3.75E+01,4.69E+01,0.00E+00,4.53E+01,4.39E+00,0.00E+00,1.59E+07,1.17E+08,1.23E+06,9.04E+06,4.97E+01,2.20E+00,7.02E+01,,1.31E-01,,4.81E-02,,7.41E-02,,2.71E-02
820510200000,1.45E-01,6.88E+00,6.50E+08,1.76E+01,9.09E+08,1.83E+09,9.20E+08,9.55E+01,1.39E-01,4.77E-02,1.12E+01,1.63E-02,5.62E-03,1.69E+00,8.19E+00,4.07E+00,1.35E+03,3.99E+05,2.75E+06,1.63E+04,1.12E+05,1.38E+00,0.00E+00,3.58E-01,1.00E+02,1.54E+07,1.06E+08,1.03E+00,5.71E+00,0.00E+00,0.00E+00,5.37E+01,2.82E+01,0.00E+00,5.62E+01,1.03E+00,0.00E+00,1.58E+07,1.09E+08,5.52E+05,3.80E+06,5.72E+01,2.26E+00,5.64E+01,,1.39E-01,,4.77E-02,,1.63E-02,,5.62E-03
820510250000,1.74E-01,5.75E+00,6.50E+08,2.18E+01,1.08E+09,2.26E+09,1.18E+09,8.50E+01,1.48E-01,4.25E-02,9.30E+01,1.62E-01,4.65E-02,1.63E+01,2.52E+00,7.71E+00,2.06E+03,4.59E+06,2.64E+07,3.54E+05,2.04E+06,1.39E+00,0.00E+00,5.72E-01,1.00E+02,1.84E+07,1.06E+08,1.31E+00,1.98E+01,0.00E+00,0.00E+00,3.79E+01,2.86E+01,0.00E+00,5.03E+01,1.01E+01,0.00E+00,2.40E+07,1.38E+08,6.39E+06,3.68E+07,6.04E+01,5.00E-01,5.08E+01,,1.48E-01,,4.25E-02,,1.62E-01,,4.65E-02
820510300000,1.74E-01,5.75E+00,6.50E+08,1.67E+01,8.60E+08,1.74E+09,8.78E+08,6.96E+01,1.21E-01,3.48E-02,9.25E+01,1.61E-01,4.62E-02,1.72E+01,2.80E+00,5.36E+00,2.06E+03,4.85E+06,2.79E+07,2.60E+05,1.49E+06,1.39E+00,0.00E+00,4.93E-01,1.00E+02,1.37E+07,7.86E+07,1.44E+00,2.19E+01,0.00E+00,0.00E+00,4.71E+01,2.83E+01,0.00E+00,5.12E+01,1.06E+01,0.00E+00,1.97E+07,1.13E+08,6.76E+06,3.89E+07,6.18E+01,6.43E-01,3.85E+01,,1.21E-01,,3.48E-02,,1.61E-01,,4.62E-02
820510350000,1.74E-01,5.75E+00,6.50E+08,2.42E+01,1.43E+09,2.52E+09,1.09E+09,7.10E+01,1.23E-01,3.55E-02,9.12E+01,1.59E-01,4.56E-02,1.51E+01,2.06E+00,2.69E+01,4.72E+03,4.27E+06,2.46E+07,1.15E+06,6.61E+06,1.14E+00,8.03E+00,9.32E-01,1.00E+02,1.30E+07,7.51E+07,2.38E+00,3.71E+01,0.00E+00,0.00E+00,3.18E+01,3.78E+01,0.00E+00,5.45E+01,1.02E+01,0.00E+00,3.10E+07,1.78E+08,4.88E+06,2.80E+07,6.47E+01,2.25E-01,6.61E+01,,1.23E-01,,3.55E-02,,1.59E-01,,4.56E-02
