"host time (us)","GPU PowerVR Series8XEP, GE8320, Device 0/Frame time","GPU PowerVR Series8XEP, GE8320, Device 0/Frames per second (FPS)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU clock speed","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory interface load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory read bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory total bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory write bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiler triangle load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiles per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangle ratio (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per draw","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Vertices per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/HSR efficiency (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP pixel load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP tiles in flight (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Overdraw","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Z load/store (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per pixel","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per vertex","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: compute (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: pixel (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: vertex (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Register overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shader processing load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texture overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texturing active (%)","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 16898 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 16898 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 16898 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 16898 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time"
816760260000,6.45E-03,1.55E+02,6.50E+08,1.65E+01,1.65E+09,2.72E+09,1.07E+09,8.09E+01,5.22E-03,3.13E-03,0.00E+00,0.00E+00,0.00E+00,7.35E+00,2.06E+00,3.65E+01,2.75E+04,1.03E+05,1.90E+07,3.75E+04,6.92E+06,1.01E+00,0.00E+00,1.51E-01,1.00E+02,5.43E+05,1.00E+08,1.00E+00,3.20E+00,0.00E+00,0.00E+00,6.06E+01,4.41E+01,0.00E+00,3.67E+01,5.11E+00,0.00E+00,5.43E+05,1.00E+08,1.04E+05,1.91E+07,4.18E+01,2.96E+00,7.90E+01,,5.22E-03,,3.13E-03,,0.00E+00,,0.00E+00
816760270000,1.77E-02,5.64E+01,6.50E+08,3.16E+01,1.96E+09,3.28E+09,1.32E+09,9.88E+01,1.75E-02,9.88E-03,0.00E+00,0.00E+00,0.00E+00,2.44E+00,4.95E+00,2.08E+00,5.23E+04,7.03E+04,3.97E+06,1.46E+03,8.26E+04,1.00E+00,1.15E+01,8.50E-01,1.00E+02,2.38E+06,1.34E+08,1.16E+00,1.28E+01,0.00E+00,0.00E+00,1.52E+01,4.40E+01,0.00E+00,2.28E+01,1.68E+00,0.00E+00,2.77E+06,1.56E+08,7.05E+04,3.98E+06,2.45E+01,9.52E-01,8.04E+01,,1.75E-02,,9.88E-03,,0.00E+00,,0.00E+00
816760280000,4.71E-02,2.12E+01,6.50E+08,3.23E+01,1.99E+09,3.36E+09,1.38E+09,9.68E+01,4.56E-02,9.68E-03,0.00E+00,0.00E+00,0.00E+00,4.95E+00,2.06E+00,4.07E+01,6.14E+03,3.79E+05,8.04E+06,1.54E+05,3.27E+06,1.01E+00,1.91E+01,8.67E-01,1.00E+02,5.88E+06,1.25E+08,1.17E+00,1.22E+01,0.00E+00,0.00E+00,8.98E+00,4.62E+01,0.00E+00,1.26E+01,3.61E+00,0.00E+00,6.87E+06,1.46E+08,3.83E+05,8.13E+06,1.62E+01,6.78E-05,7.54E+01,,4.56E-02,,9.68E-03,,0.00E+00,,0.00E+00
816760290000,4.71E-02,2.12E+01,6.50E+08,2.97E+01,1.88E+09,3.09E+09,1.21E+09,7.38E+01,3.48E-02,7.38E-03,2.27E+01,1.07E-02,2.27E-03,1.74E+01,2.02E+00,4.07E+01,6.11E+03,1.34E+06,2.84E+07,5.43E+05,1.15E+07,1.01E+00,2.38E+01,5.26E-01,1.00E+02,3.71E+06,7.87E+07,1.06E+00,5.76E+00,0.00E+00,0.00E+00,1.12E+01,4.62E+01,0.00E+00,9.00E+00,1.28E+01,0.00E+00,3.93E+06,8.34E+07,1.35E+06,2.87E+07,2.18E+01,8.37E-06,5.47E+01,,3.48E-02,,7.38E-03,,1.07E-02,,2.27E-03
816760300000,4.71E-02,2.12E+01,6.50E+08,2.97E+01,1.88E+09,3.09E+09,1.21E+09,0.00E+00,0.00E+00,0.00E+00,1.00E+02,4.71E-02,1.00E-02,1.74E+01,2.02E+00,4.07E+01,6.11E+03,1.34E+06,2.84E+07,5.43E+05,1.15E+07,1.01E+00,2.38E+01,5.26E-01,1.00E+02,3.71E+06,7.87E+07,1.06E+00,5.76E+00,0.00E+00,0.00E+00,1.12E+01,4.62E+01,0.00E+00,9.00E+00,1.28E+01,0.00E+00,3.93E+06,8.34E+07,1.35E+06,2.87E+07,2.18E+01,8.37E-06,5.47E+01,,0.00E+00,,0.00E+00,,4.71E-02,,1.00E-02
816760310000,4.88E-02,2.05E+01,6.50E+08,2.36E+01,1.31E+09,2.46E+09,1.15E+09,5.03E+01,2.46E-02,5.03E-03,7.05E+01,3.44E-02,7.05E-03,8.31E+00,2.09E+00,4.07E+01,2.54E+03,6.59E+05,1.35E+07,2.68E+05,5.50E+06,1.01E+00,0.00E+00,3.99E-01,1.00E+02,4.85E+06,9.93E+07,1.02E+00,5.88E+00,0.00E+00,0.00E+00,4.13E+01,4.62E+01,0.00E+00,4.03E+01,6.08E+00,0.00E+00,4.96E+06,1.02E+08,6.68E+05,1.37E+07,4.64E+01,7.40E-01,5.27E+01,,2.46E-02,,5.03E-03,,3.44E-02,,7.05E-03
816760320000,1.05E-01,9.55E+00,6.50E+08,2.30E+01,1.26E+09,2.39E+09,1.13E+09,9.55E+01,1.00E-01,9.55E-03,7.16E+01,7.50E-02,7.16E-03,5.97E+00,2.54E+00,3.41E+01,2.24E+03,1.01E+06,9.70E+06,3.46E+05,3.31E+06,1.01E+00,0.00E+00,2.60E-01,1.00E+02,1.13E+07,1.08E+08,1.00E+00,5.48E+00,0.00E+00,0.00E+00,6.06E+01,4.41E+01,0.00E+00,6.31E+01,4.16E+00,0.00E+00,1.13E+07,1.08E+08,1.03E+06,9.82E+06,6.72E+01,3.21E+00,5.94E+01,,1.00E-01,,9.55E-03,,7.50E-02,,7.16E-03
816760330000,1.05E-01,9.55E+00,6.50E+08,2.62E+01,1.55E+09,2.73E+09,1.17E+09,9.43E+01,9.87E-02,9.43E-03,1.00E+02,1.05E-01,1.00E-02,1.15E+01,2.37E+00,4.30E+01,3.22E+04,1.95E+06,1.87E+07,8.41E+05,8.03E+06,1.01E+00,0.00E+00,2.39E-01,1.00E+02,1.04E+07,9.95E+07,1.00E+00,5.10E+00,0.00E+00,0.00E+00,6.06E+01,4.40E+01,0.00E+00,5.79E+01,7.96E+00,0.00E+00,1.04E+07,9.95E+07,1.97E+06,1.88E+07,6.59E+01,4.40E+00,6.70E+01,,9.87E-02,,9.43E-03,,1.05E-01,,1.00E-02
816760340000,1.05E-01,9.55E+00,6.50E+08,2.40E+01,1.49E+09,2.50E+09,1.01E+09,9.53E+01,9.98E-02,9.53E-03,1.00E+02,1.05E-01,1.00E-02,1.15E+01,2.07E+00,3.31E+01,3.38E+04,1.95E+06,1.87E+07,6.48E+05,6.19E+06,1.01E+00,0.00E+00,2.28E-01,1.00E+02,9.93E+06,9.49E+07,1.00E+00,4.84E+00,0.00E+00,0.00E+00,6.06E+01,4.40E+01,0.00E+00,5.53E+01,7.97E+00,0.00E+00,9.93E+06,9.49E+07,1.97E+06,1.88E+07,6.32E+01,5.95E+00,6.84E+01,,9.98E-02,,9.53E-03,,1.05E-01,,1.00E-02
816760350000,1.05E-01,9.55E+00,6.50E+08,2.46E+01,1.50E+09,2.56E+09,1.06E+09,9.37E+01,9.81E-02,9.37E-03,1.00E+02,1.05E-01,1.00E-02,1.08E+01,1.84E+00,4.92E+01,3.52E+04,1.85E+06,1.76E+07,9.07E+05,8.67E+06,1.01E+00,0.00E+00,2.21E-01,1.00E+02,9.60E+06,9.18E+07,1.00E+00,4.68E+00,0.00E+00,0.00E+00,6.06E+01,4.40E+01,0.00E+00,5.34E+01,7.51E+00,0.00E+00,9.60E+06,9.18E+07,1.86E+06,1.78E+07,6.09E+01,7.20E+00,6.88E+01,,9.81E-02,,9.37E-03,,1.05E-01,,1.00E-02
