"host time (us)","GPU PowerVR Series8XEP, GE8320, Device 0/Frame time","GPU PowerVR Series8XEP, GE8320, Device 0/Frames per second (FPS)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU clock speed","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory interface load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory read bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory total bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory write bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiler triangle load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiles per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangle ratio (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per draw","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Vertices per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/HSR efficiency (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP pixel load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP tiles in flight (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Overdraw","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Z load/store (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per pixel","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per vertex","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: compute (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: pixel (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: vertex (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Register overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shader processing load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texture overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texturing active (%)","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time"
827273450000,6.15E-03,1.63E+02,6.50E+08,1.16E+01,1.64E+09,2.60E+09,9.61E+08,2.51E+02,1.54E-02,2.43E-03,0.00E+00,0.00E+00,0.00E+00,5.49E+00,1.59E+00,2.53E+01,2.53E+04,2.96E+05,1.92E+07,7.47E+04,4.84E+06,1.01E+00,0.00E+00,1.11E-01,1.00E+02,1.53E+06,9.93E+07,1.00E+00,2.36E+00,0.00E+00,0.00E+00,6.06E+01,4.41E+01,0.00E+00,2.69E+01,3.81E+00,0.00E+00,1.53E+06,9.93E+07,2.98E+05,1.93E+07,3.07E+01,2.10E+00,8.47E+01,,1.54E-02,,2.43E-03,,0.00E+00,,0.00E+00
827273500000,3.64E-02,2.75E+01,6.50E+08,2.71E+01,1.63E+09,2.82E+09,1.19E+09,8.41E+01,3.06E-02,4.21E-02,1.23E+01,4.47E-03,6.15E-03,9.19E+00,1.57E+00,2.83E+01,8.45E+03,5.43E+05,1.49E+07,1.54E+05,4.23E+06,1.01E+00,0.00E+00,3.33E-01,1.00E+02,4.12E+06,1.13E+08,1.08E+00,1.01E+01,0.00E+00,0.00E+00,2.72E+01,4.54E+01,0.00E+00,3.20E+01,6.60E+00,0.00E+00,4.44E+06,1.22E+08,5.49E+05,1.51E+07,3.86E+01,1.94E+00,6.79E+01,,3.06E-02,,4.21E-02,,4.47E-03,,6.15E-03
827273550000,8.89E-02,1.12E+01,6.50E+08,1.84E+01,8.68E+08,1.92E+09,1.05E+09,7.85E+01,6.98E-02,3.92E-02,3.98E+01,3.54E-02,1.99E-02,4.72E+00,1.91E+00,3.02E+01,2.50E+03,6.82E+05,7.67E+06,2.06E+05,2.32E+06,1.14E+00,0.00E+00,2.78E-01,1.00E+02,9.89E+06,1.11E+08,1.01E+00,6.63E+00,0.00E+00,0.00E+00,5.33E+01,3.90E+01,0.00E+00,5.73E+01,3.27E+00,0.00E+00,9.95E+06,1.12E+08,7.77E+05,8.74E+06,6.06E+01,1.62E+00,5.24E+01,,6.98E-02,,3.92E-02,,3.54E-02,,1.99E-02
827273600000,1.95E-01,5.12E+00,6.50E+08,2.46E+01,1.30E+09,2.56E+09,1.26E+09,9.66E+01,1.89E-01,4.83E-02,9.31E+01,1.82E-01,4.66E-02,1.55E+01,2.54E+00,7.85E+00,1.98E+03,4.93E+06,2.52E+07,3.87E+05,1.98E+06,1.38E+00,0.00E+00,5.09E-01,1.00E+02,2.25E+07,1.15E+08,1.29E+00,1.90E+01,0.00E+00,0.00E+00,3.43E+01,2.90E+01,0.00E+00,4.89E+01,9.69E+00,0.00E+00,2.90E+07,1.48E+08,6.80E+06,3.48E+07,5.86E+01,5.57E-01,6.28E+01,,1.89E-01,,4.83E-02,,1.82E-01,,4.66E-02
827273650000,1.95E-01,5.12E+00,6.50E+08,1.88E+01,9.42E+08,1.96E+09,1.02E+09,9.04E+01,1.77E-01,4.52E-02,9.53E+01,1.86E-01,4.77E-02,1.21E+01,2.74E+00,5.42E+00,2.09E+03,3.84E+06,1.96E+07,2.08E+05,1.07E+06,1.39E+00,0.00E+00,6.92E-01,1.00E+02,1.95E+07,9.97E+07,1.55E+00,2.82E+01,0.00E+00,0.00E+00,4.41E+01,2.85E+01,0.00E+00,6.57E+01,7.48E+00,0.00E+00,3.03E+07,1.55E+08,5.34E+06,2.73E+07,7.32E+01,8.97E-01,4.90E+01,,1.77E-01,,4.52E-02,,1.86E-01,,4.77E-02
827273700000,1.95E-01,5.12E+00,6.50E+08,2.17E+01,1.35E+09,2.26E+09,9.01E+08,4.92E+01,9.61E-02,2.46E-02,9.35E+01,1.83E-01,4.68E-02,2.28E+01,1.75E+00,2.19E+01,4.02E+03,7.23E+06,3.70E+07,1.58E+06,8.10E+06,1.21E+00,0.00E+00,3.28E-01,1.00E+02,1.17E+07,5.97E+07,1.38E+00,1.38E+01,0.00E+00,0.00E+00,4.03E+01,3.46E+01,0.00E+00,3.19E+01,1.49E+01,0.00E+00,1.61E+07,8.23E+07,8.72E+06,4.46E+07,4.68E+01,4.26E-01,5.53E+01,,9.61E-02,,2.46E-02,,1.83E-01,,4.68E-02
827273750000,1.40E-01,7.15E+00,6.50E+08,3.03E+01,1.73E+09,3.15E+09,1.42E+09,9.66E+01,1.35E-01,4.83E-02,6.38E+01,8.91E-02,3.19E-02,9.98E+00,1.73E+00,2.88E+01,2.97E+03,2.27E+06,1.62E+07,6.53E+05,4.67E+06,1.09E+00,0.00E+00,8.65E-01,1.00E+02,1.71E+07,1.22E+08,1.68E+00,3.85E+01,0.00E+00,0.00E+00,2.23E+01,4.23E+01,0.00E+00,4.41E+01,7.16E+00,0.00E+00,2.87E+07,2.05E+08,2.46E+06,1.76E+07,5.13E+01,4.29E-03,7.67E+01,,1.35E-01,,4.83E-02,,8.91E-02,,3.19E-02
827273800000,1.05E-01,9.54E+00,6.50E+08,2.88E+01,1.77E+09,3.00E+09,1.23E+09,6.34E+01,6.65E-02,3.17E-02,7.70E+01,8.08E-02,3.85E-02,2.05E+01,1.61E+00,3.53E+01,7.99E+03,3.49E+06,3.32E+07,1.23E+06,1.17E+07,1.04E+00,0.00E+00,2.84E-01,1.00E+02,9.16E+06,8.73E+07,1.12E+00,1.57E+01,0.00E+00,0.00E+00,3.37E+01,4.36E+01,0.00E+00,3.19E+01,1.44E+01,0.00E+00,1.03E+07,9.82E+07,3.61E+06,3.45E+07,4.63E+01,7.17E-01,7.45E+01,,6.65E-02,,3.17E-02,,8.08E-02,,3.85E-02
827273850000,8.86E-02,1.13E+01,6.50E+08,1.10E+01,5.60E+08,1.50E+09,9.38E+08,9.61E+01,8.52E-02,4.80E-02,4.16E+00,3.69E-03,2.08E-03,4.06E-04,3.63E+02,1.00E+02,1.50E+00,5.85E+01,8.68E+02,5.85E+01,8.68E+02,2.00E+00,0.00E+00,2.09E-01,1.00E+02,7.72E+06,1.15E+08,1.00E+00,4.39E+00,0.00E+00,0.00E+00,6.06E+01,6.13E+01,0.00E+00,5.07E+01,7.78E-04,0.00E+00,7.72E+06,1.15E+08,1.17E+02,1.74E+03,5.07E+01,1.93E+00,6.35E+01,,8.52E-02,,4.80E-02,,3.69E-03,,2.08E-03
827273900000,6.97E-02,1.43E+01,6.50E+08,2.75E+01,2.19E+09,3.52E+09,1.32E+09,5.15E+01,3.60E-02,2.58E-02,7.81E+01,5.45E-02,3.91E-02,2.21E+01,1.60E+00,3.47E+01,1.20E+04,2.37E+06,4.41E+07,8.22E+05,1.53E+07,1.04E+00,0.00E+00,2.29E-01,1.00E+02,4.72E+06,8.79E+07,1.20E+00,1.27E+01,0.00E+00,0.00E+00,2.09E+01,4.30E+01,0.00E+00,1.72E+01,1.54E+01,0.00E+00,5.67E+06,1.05E+08,2.46E+06,4.58E+07,3.26E+01,1.92E-01,8.56E+01,,3.60E-02,,2.58E-02,,5.45E-02,,3.91E-02
